customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,TechSupport,OnlineSecurity,StreamingTV,NumSupportCalls,MonthlyCharges,TotalCharges,Churn,ChurnProbability,PredictedChurn,ActualChurn,RiskSegment
CUST101190,Male,0,Yes,No,13,Month-to-month,Fiber optic,Credit card (automatic),Yes,No internet service,No,Yes,0,89.04,1131.19,No,57.86,Yes,No,Medium Risk
CUST101438,Female,0,Yes,No,41,One year,Fiber optic,Electronic check,Yes,No,No,No,1,74.16,3119.01,Yes,18.73,No,Yes,Low Risk
CUST104379,Male,0,No,Yes,50,Month-to-month,No,Credit card (automatic),No,No,Yes,No internet service,0,18.0,838.27,No,0.82,No,No,Low Risk
CUST100593,Female,0,No,Yes,6,Two year,No,Electronic check,Yes,Yes,Yes,No,1,18.0,38.76,No,4.13,No,No,Low Risk
CUST104447,Male,0,Yes,No,14,Month-to-month,DSL,Electronic check,No,No,No,No,2,38.22,610.96,Yes,68.51,Yes,Yes,High Risk
CUST101626,Male,0,Yes,No,9,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,No,No,1,85.36,743.62,Yes,60.14,Yes,Yes,High Risk
CUST104004,Female,0,No,Yes,72,Month-to-month,Fiber optic,Mailed check,Yes,No,No internet service,No,1,67.78,4873.73,No,6.05,No,No,Low Risk
CUST103760,Male,0,Yes,No,57,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,Yes,2,68.83,3868.7,No,10.32,No,No,Low Risk
CUST103343,Female,0,Yes,No,68,Month-to-month,DSL,Credit card (automatic),Yes,Yes,No,Yes,3,44.7,3110.48,Yes,1.54,No,Yes,Low Risk
CUST103211,Female,1,Yes,No,72,One year,DSL,Bank transfer (automatic),Yes,No,No,No,3,53.92,3888.59,No,0.78,No,No,Low Risk
CUST102478,Female,0,No,No,25,Two year,Fiber optic,Electronic check,Yes,Yes,No,Yes,1,77.85,2036.62,No,21.58,No,No,Low Risk
CUST100921,Male,0,Yes,Yes,43,Month-to-month,No,Mailed check,Yes,No,No,No,3,47.19,2003.06,Yes,16.45,No,Yes,Low Risk
CUST102532,Female,0,No,Yes,11,One year,Fiber optic,Electronic check,Yes,Yes,No,No,0,68.75,727.31,Yes,33.41,No,Yes,Medium Risk
CUST103787,Male,0,Yes,No,14,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,Yes,Yes,3,81.08,1114.75,Yes,57.24,Yes,Yes,Medium Risk
CUST102307,Female,1,No,No,51,Two year,DSL,Credit card (automatic),Yes,No internet service,Yes,Yes,1,72.46,3598.96,No,1.03,No,No,Low Risk
CUST103437,Male,0,Yes,Yes,43,One year,DSL,Credit card (automatic),Yes,No internet service,No,No,2,58.25,2500.77,No,1.68,No,No,Low Risk
CUST100145,Male,0,No,No,16,Two year,Fiber optic,Electronic check,No,No,Yes,Yes,2,66.83,1001.23,No,36.19,No,No,Medium Risk
CUST104579,Female,0,No,No,47,Month-to-month,Fiber optic,Mailed check,No,Yes,No internet service,No internet service,2,106.21,5010.77,No,58.33,Yes,No,Medium Risk
CUST103107,Female,1,No,No,21,Two year,DSL,Bank transfer (automatic),Yes,No,No,Yes,2,69.18,1414.43,No,11.71,No,No,Low Risk
CUST101316,Female,0,No,Yes,58,Month-to-month,DSL,Credit card (automatic),No,No,No internet service,No,1,45.63,2725.72,No,2.9,No,No,Low Risk
CUST103009,Male,0,Yes,Yes,15,One year,DSL,Electronic check,Yes,Yes,Yes,No,5,46.09,791.92,Yes,27.04,No,Yes,Low Risk
CUST100942,Female,0,No,No,72,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,0,72.71,5280.82,Yes,15.84,No,Yes,Low Risk
CUST102804,Male,0,Yes,No,3,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,74.09,167.36,Yes,89.97,Yes,Yes,High Risk
CUST103336,Female,1,No,No,63,One year,DSL,Electronic check,No,No,No,No,0,65.86,4080.76,Yes,5.2,No,Yes,Low Risk
CUST100755,Female,0,No,Yes,9,Month-to-month,DSL,Electronic check,Yes,No,No,Yes,2,59.32,541.3,Yes,85.47,Yes,Yes,High Risk
CUST100633,Male,0,Yes,No,19,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,1,88.08,1739.45,Yes,80.96,Yes,Yes,High Risk
CUST101114,Male,0,Yes,No,9,Two year,No,Mailed check,Yes,No,Yes,No,1,18.0,95.03,No,1.84,No,No,Low Risk
CUST104667,Female,0,No,No,13,One year,No,Mailed check,No,No internet service,No,No,2,34.93,482.66,No,19.11,No,No,Low Risk
CUST100660,Female,0,No,No,35,Two year,DSL,Electronic check,No,Yes,No internet service,No,1,50.49,1718.12,No,4.47,No,No,Low Risk
CUST103472,Female,0,Yes,No,72,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes,1,72.74,5152.62,No,2.63,No,No,Low Risk
CUST103385,Female,0,No,Yes,18,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,63.47,1223.1,No,52.21,Yes,No,Medium Risk
CUST103963,Male,0,Yes,No,20,Two year,Fiber optic,Bank transfer (automatic),No,No,No,Yes,0,56.42,1153.88,No,3.02,No,No,Low Risk
CUST100047,Male,0,Yes,No,37,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,No internet service,0,89.98,3324.88,No,28.07,No,No,Low Risk
CUST102337,Female,0,Yes,No,10,Two year,Fiber optic,Credit card (automatic),Yes,No,No,No internet service,0,75.27,739.17,No,8.66,No,No,Low Risk
CUST101615,Male,0,Yes,No,34,Two year,DSL,Electronic check,Yes,Yes,No,No,0,60.81,1971.15,No,2.53,No,No,Low Risk
CUST102165,Male,0,No,No,11,Month-to-month,No,Electronic check,Yes,No,No,Yes,2,22.2,163.3,Yes,68.79,Yes,Yes,High Risk
CUST104744,Female,0,Yes,No,50,Month-to-month,DSL,Bank transfer (automatic),No,Yes,No internet service,No,0,48.94,2440.85,No,1.79,No,No,Low Risk
CUST100770,Male,0,Yes,Yes,72,Month-to-month,No,Electronic check,Yes,Yes,Yes,Yes,0,18.37,1252.62,No,0.37,No,No,Low Risk
CUST104923,Female,0,Yes,No,47,Month-to-month,Fiber optic,Mailed check,No,No internet service,No,No,1,79.51,3758.33,No,30.85,No,No,Medium Risk
CUST101318,Female,0,No,No,36,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,Yes,1,72.1,2654.68,No,25.93,No,No,Low Risk
CUST101590,Female,0,Yes,No,11,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,Yes,Yes,1,73.9,764.64,Yes,81.98,Yes,Yes,High Risk
CUST102922,Male,1,No,Yes,52,Two year,Fiber optic,Electronic check,No,No,No,No internet service,3,76.15,3952.24,Yes,20.76,No,Yes,Low Risk
CUST103453,Female,0,Yes,No,22,Month-to-month,DSL,Electronic check,No,No,Yes,No,3,52.41,1216.33,Yes,66.86,Yes,Yes,High Risk
CUST103032,Male,0,No,No,45,Two year,Fiber optic,Electronic check,No,No,No,No,1,47.12,2090.45,No,5.33,No,No,Low Risk
CUST102017,Female,1,No,No,40,Two year,No,Mailed check,Yes,Yes,Yes,No,2,35.47,1407.89,No,1.01,No,No,Low Risk
CUST100062,Male,0,Yes,No,15,Month-to-month,DSL,Bank transfer (automatic),No,No,No,No,1,74.24,1108.2,Yes,45.77,No,Yes,Medium Risk
CUST101170,Female,0,No,Yes,72,Month-to-month,DSL,Mailed check,Yes,Yes,No,No,2,52.25,3779.4,No,2.11,No,No,Low Risk
CUST100492,Male,0,Yes,Yes,3,Month-to-month,DSL,Electronic check,Yes,Yes,No internet service,No internet service,3,50.24,283.32,Yes,78.05,Yes,Yes,High Risk
CUST101610,Male,0,No,No,19,One year,Fiber optic,Bank transfer (automatic),Yes,No,No internet service,Yes,2,74.91,1407.81,No,26.05,No,No,Low Risk
CUST100776,Male,1,No,No,24,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,0,90.02,2203.09,Yes,89.49,Yes,Yes,High Risk
CUST102555,Female,0,Yes,No,14,One year,Fiber optic,Credit card (automatic),Yes,No,No internet service,No internet service,1,83.12,1200.63,No,23.29,No,No,Low Risk
CUST101002,Male,1,Yes,Yes,22,Month-to-month,No,Bank transfer (automatic),Yes,No,No internet service,Yes,0,23.38,607.98,No,7.59,No,No,Low Risk
CUST103034,Female,0,No,Yes,29,One year,No,Credit card (automatic),Yes,Yes,No,Yes,2,19.43,494.96,No,1.11,No,No,Low Risk
CUST104043,Female,0,No,No,64,Month-to-month,No,Mailed check,No,Yes,No,Yes,0,18.77,1204.77,No,0.85,No,No,Low Risk
CUST104956,Female,0,Yes,No,37,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,81.33,3013.92,No,61.67,Yes,No,High Risk
CUST102132,Female,0,Yes,Yes,18,Month-to-month,DSL,Electronic check,No,No,No internet service,No internet service,3,59.84,1034.43,No,80.41,Yes,No,High Risk
CUST100911,Male,0,No,Yes,46,One year,No,Bank transfer (automatic),No,No,Yes,Yes,1,42.13,2020.48,No,0.64,No,No,Low Risk
CUST100676,Female,0,Yes,No,10,Two year,No,Electronic check,No,No,No,Yes,2,18.0,179.81,No,13.02,No,No,Low Risk
CUST101163,Female,0,No,No,33,Month-to-month,No,Bank transfer (automatic),Yes,Yes,No,No,4,18.0,591.43,No,11.33,No,No,Low Risk
CUST100422,Female,0,Yes,No,19,Month-to-month,No,Electronic check,No,Yes,Yes,No,2,20.02,407.38,Yes,27.0,No,Yes,Low Risk
CUST101166,Male,0,No,No,18,Month-to-month,Fiber optic,Mailed check,Yes,No internet service,No,No internet service,0,77.53,1344.22,No,64.92,Yes,No,High Risk
CUST100048,Female,0,No,No,25,Two year,No,Credit card (automatic),Yes,No,No internet service,No internet service,1,19.28,403.25,No,1.0,No,No,Low Risk
CUST102670,Male,0,No,Yes,72,Month-to-month,DSL,Electronic check,Yes,No,No,No,1,80.31,5766.19,No,14.91,No,No,Low Risk
CUST101669,Female,0,Yes,No,31,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,1,69.52,2128.33,Yes,44.73,No,Yes,Medium Risk
CUST101924,Female,0,No,No,72,Month-to-month,Fiber optic,Mailed check,Yes,No internet service,No,Yes,0,53.24,3817.41,No,3.3,No,No,Low Risk
CUST104787,Male,0,Yes,Yes,37,Month-to-month,No,Mailed check,No,No,No,Yes,1,30.94,1102.39,No,8.05,No,No,Low Risk
CUST100769,Male,0,No,No,32,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No,Yes,2,59.37,1968.21,Yes,26.18,No,Yes,Low Risk
CUST102219,Male,1,No,No,4,Month-to-month,DSL,Bank transfer (automatic),No,Yes,Yes,Yes,1,52.12,229.51,No,39.44,No,No,Medium Risk
CUST103097,Male,0,No,No,30,Month-to-month,No,Mailed check,No,Yes,No,Yes,2,18.0,535.27,No,12.72,No,No,Low Risk
CUST102000,Male,0,No,No,72,Month-to-month,DSL,Credit card (automatic),No,No,No,No,1,58.48,4256.74,No,2.42,No,No,Low Risk
CUST101588,Male,1,Yes,Yes,69,Two year,Fiber optic,Credit card (automatic),No,Yes,No,No,1,57.37,3921.11,No,0.18,No,No,Low Risk
CUST104868,Male,0,Yes,No,37,Two year,DSL,Credit card (automatic),Yes,No,No internet service,Yes,2,50.2,1825.81,No,1.16,No,No,Low Risk
CUST101010,Male,0,Yes,No,42,One year,DSL,Mailed check,Yes,No,No,Yes,3,54.46,2283.6,No,5.4,No,No,Low Risk
CUST102003,Female,0,No,No,16,Month-to-month,DSL,Electronic check,No,No,No internet service,No,0,52.29,860.39,Yes,67.65,Yes,Yes,High Risk
CUST100989,Female,0,Yes,No,38,Month-to-month,DSL,Credit card (automatic),No,No,Yes,Yes,1,77.25,2928.24,No,13.64,No,No,Low Risk
CUST103684,Female,0,No,Yes,25,One year,DSL,Electronic check,Yes,Yes,Yes,No,0,42.75,1027.8,No,3.6,No,No,Low Risk
CUST102402,Male,0,Yes,Yes,63,Month-to-month,DSL,Electronic check,Yes,No,No,No,0,63.92,4057.04,No,7.2,No,No,Low Risk
CUST102676,Male,1,No,No,24,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No internet service,2,83.62,2056.84,Yes,91.56,Yes,Yes,High Risk
CUST103523,Female,0,No,No,47,Two year,DSL,Mailed check,Yes,No,No,Yes,0,73.13,3379.37,No,1.71,No,No,Low Risk
CUST101319,Male,0,Yes,Yes,27,One year,Fiber optic,Bank transfer (automatic),No,No internet service,No,Yes,0,75.74,2051.97,No,5.85,No,No,Low Risk
CUST102292,Male,0,Yes,No,54,Two year,Fiber optic,Credit card (automatic),Yes,No internet service,No,No,1,74.01,3951.82,No,0.94,No,No,Low Risk
CUST102208,Female,0,Yes,Yes,55,Two year,Fiber optic,Credit card (automatic),Yes,Yes,No internet service,No internet service,2,74.34,4158.38,No,0.63,No,No,Low Risk
CUST101822,Female,0,No,No,26,One year,No,Credit card (automatic),Yes,No,Yes,No,2,23.55,628.38,No,2.05,No,No,Low Risk
CUST101053,Male,0,Yes,Yes,27,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,No,No internet service,2,55.87,1462.35,No,18.46,No,No,Low Risk
CUST100333,Male,0,No,No,18,One year,Fiber optic,Credit card (automatic),Yes,No,No internet service,Yes,1,76.81,1352.77,No,21.52,No,No,Low Risk
CUST101564,Male,1,No,No,28,Month-to-month,Fiber optic,Mailed check,No,No,No,No,2,76.52,2151.91,Yes,80.04,Yes,Yes,High Risk
CUST103353,Male,1,No,No,41,One year,Fiber optic,Bank transfer (automatic),No,No internet service,No,No,0,69.18,2825.61,No,5.97,No,No,Low Risk
CUST104231,Male,0,Yes,Yes,29,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,3,110.1,3241.73,Yes,90.33,Yes,Yes,High Risk
CUST103904,Male,0,No,No,26,Two year,Fiber optic,Credit card (automatic),No,No,Yes,Yes,0,77.81,2026.3,No,3.85,No,No,Low Risk
CUST102561,Female,1,Yes,Yes,15,Month-to-month,No,Mailed check,No,No,Yes,Yes,2,18.0,349.03,No,24.86,No,No,Low Risk
CUST104687,Male,0,No,No,18,One year,No,Electronic check,No,No,No,No,3,18.0,270.42,No,28.27,No,No,Low Risk
CUST102309,Male,1,No,No,15,Month-to-month,No,Electronic check,No,No,No internet service,No internet service,1,29.95,505.88,Yes,72.82,Yes,Yes,High Risk
CUST101191,Male,0,No,Yes,46,Month-to-month,No,Credit card (automatic),No,Yes,No,Yes,1,26.4,1175.9,No,1.98,No,No,Low Risk
CUST103847,Female,1,Yes,Yes,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No internet service,No,1,83.15,141.17,Yes,95.81,Yes,Yes,High Risk
CUST101579,Male,0,Yes,No,21,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,No,2,71.04,1457.59,No,30.34,No,No,Medium Risk
CUST103914,Male,0,Yes,No,22,One year,No,Credit card (automatic),Yes,No,No internet service,No internet service,2,25.89,683.06,No,3.02,No,No,Low Risk
CUST100016,Female,0,Yes,No,46,Month-to-month,DSL,Electronic check,No,No,No,No,1,66.48,3083.72,No,35.93,No,No,Medium Risk
CUST101526,Male,0,No,No,6,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No internet service,No internet service,3,85.68,500.1,Yes,89.69,Yes,Yes,High Risk
CUST101678,Female,0,No,Yes,27,One year,Fiber optic,Credit card (automatic),Yes,Yes,No,No,1,88.37,2404.01,No,9.85,No,No,Low Risk
CUST104131,Male,0,No,No,7,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,Yes,3,76.37,555.72,Yes,78.94,Yes,Yes,High Risk
CUST102013,Female,0,No,Yes,6,Two year,DSL,Credit card (automatic),No,Yes,Yes,Yes,2,58.82,397.37,No,4.72,No,No,Low Risk
CUST103673,Female,0,No,No,20,Month-to-month,Fiber optic,Credit card (automatic),No,No,No internet service,No,2,90.46,1875.43,No,79.17,Yes,No,High Risk
CUST103549,Female,1,Yes,No,9,One year,Fiber optic,Mailed check,No,No,Yes,No internet service,1,80.71,675.55,Yes,42.95,No,Yes,Medium Risk
CUST103431,Female,0,Yes,No,13,Month-to-month,DSL,Mailed check,Yes,Yes,No,No,1,48.64,628.68,No,28.86,No,No,Low Risk
CUST103306,Female,0,Yes,Yes,24,Month-to-month,No,Electronic check,Yes,No,Yes,Yes,2,18.0,493.54,No,22.42,No,No,Low Risk
CUST100420,Female,0,No,No,8,One year,Fiber optic,Electronic check,Yes,No internet service,No internet service,No,1,85.48,685.59,No,77.45,Yes,No,High Risk
CUST104752,Male,0,No,No,28,Month-to-month,No,Mailed check,Yes,Yes,No internet service,No,1,18.31,551.84,No,8.64,No,No,Low Risk
CUST100229,Male,0,No,No,37,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes,0,84.07,3115.65,No,18.22,No,No,Low Risk
CUST103521,Male,1,Yes,No,21,Two year,No,Credit card (automatic),Yes,Yes,Yes,No,2,18.0,313.22,No,0.66,No,No,Low Risk
CUST102929,Female,0,No,Yes,8,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,No,0,61.38,453.5,No,38.71,No,No,Medium Risk
CUST104254,Female,0,Yes,No,36,Month-to-month,Fiber optic,Credit card (automatic),Yes,No internet service,Yes,No internet service,4,95.72,3463.52,Yes,58.24,Yes,Yes,Medium Risk
CUST104684,Female,0,Yes,Yes,14,One year,No,Electronic check,Yes,No internet service,Yes,No,2,21.78,376.64,No,9.9,No,No,Low Risk
CUST104577,Male,0,No,No,14,Two year,DSL,Bank transfer (automatic),Yes,No,No,Yes,1,57.57,845.36,Yes,5.42,No,Yes,Low Risk
CUST103826,Female,1,Yes,Yes,15,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No internet service,No,2,53.71,706.65,Yes,75.76,Yes,Yes,High Risk
CUST101476,Male,0,Yes,No,47,Month-to-month,DSL,Mailed check,Yes,No,No,No internet service,1,58.56,2825.04,No,10.6,No,No,Low Risk
CUST104281,Female,0,No,No,67,One year,No,Bank transfer (automatic),Yes,No internet service,Yes,Yes,1,27.07,1803.03,No,0.12,No,No,Low Risk
CUST100586,Female,0,No,No,38,Month-to-month,DSL,Mailed check,Yes,No,No,Yes,2,57.11,2228.13,No,31.01,No,No,Medium Risk
CUST103930,Female,0,Yes,Yes,17,One year,DSL,Mailed check,No,No,Yes,No,1,66.3,1105.25,No,8.81,No,No,Low Risk
CUST104932,Male,0,No,No,72,Two year,DSL,Bank transfer (automatic),No,No internet service,No,No,2,40.69,2896.53,No,0.17,No,No,Low Risk
CUST103818,Male,0,Yes,Yes,13,Month-to-month,No,Credit card (automatic),Yes,Yes,No,No internet service,2,37.44,497.47,No,16.06,No,No,Low Risk
CUST103226,Male,0,Yes,No,67,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,No,2,75.49,5086.85,No,8.29,No,No,Low Risk
CUST101754,Male,0,No,No,27,Month-to-month,Fiber optic,Mailed check,Yes,No internet service,Yes,Yes,0,73.4,2056.78,No,36.93,No,No,Medium Risk
CUST101186,Female,1,Yes,No,4,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No internet service,No internet service,0,87.99,378.93,Yes,78.43,Yes,Yes,High Risk
CUST100276,Male,0,Yes,Yes,22,One year,DSL,Credit card (automatic),Yes,No,No,Yes,3,53.89,1210.7,No,7.35,No,No,Low Risk
CUST101124,Female,0,Yes,No,8,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,5,77.29,571.94,Yes,96.6,Yes,Yes,High Risk
CUST103543,Female,0,No,No,25,Month-to-month,DSL,Electronic check,Yes,No,No,Yes,1,55.7,1393.73,Yes,63.54,Yes,Yes,High Risk
CUST104937,Male,0,Yes,No,21,One year,No,Mailed check,No,No internet service,No,Yes,1,18.0,392.39,No,3.54,No,No,Low Risk
CUST100688,Male,0,No,No,52,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,87.33,4592.24,No,25.36,No,No,Low Risk
CUST104176,Male,0,Yes,No,27,Month-to-month,No,Electronic check,Yes,No,No internet service,Yes,0,28.49,799.12,No,23.69,No,No,Low Risk
CUST103595,Male,0,Yes,No,7,One year,No,Electronic check,No,Yes,Yes,No,2,33.36,127.68,No,17.08,No,No,Low Risk
CUST100904,Male,0,Yes,Yes,27,Month-to-month,DSL,Electronic check,Yes,Yes,No,No internet service,0,54.49,1465.39,No,22.23,No,No,Low Risk
CUST100228,Male,0,No,No,20,Month-to-month,DSL,Bank transfer (automatic),Yes,Yes,Yes,No,4,61.17,1290.3,No,37.63,No,No,Medium Risk
CUST104633,Male,0,Yes,Yes,19,Month-to-month,No,Credit card (automatic),Yes,No,No internet service,Yes,1,23.6,350.39,No,8.91,No,No,Low Risk
CUST101700,Male,1,No,No,71,Two year,Fiber optic,Electronic check,No,No,No,No,1,77.12,5477.91,No,4.89,No,No,Low Risk
CUST104349,Male,0,No,No,32,Month-to-month,No,Bank transfer (automatic),Yes,No,Yes,No,3,36.18,1118.34,No,14.2,No,No,Low Risk
CUST103113,Female,0,Yes,No,5,One year,Fiber optic,Mailed check,No,No,No,No,1,78.38,335.2,Yes,48.45,No,Yes,Medium Risk
CUST104020,Female,0,No,Yes,37,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No,Yes,0,80.5,2920.41,No,22.37,No,No,Low Risk
CUST100063,Male,0,No,No,60,One year,No,Bank transfer (automatic),Yes,No,No,No,1,19.06,1205.66,No,0.22,No,No,Low Risk
CUST103827,Male,0,Yes,Yes,62,One year,Fiber optic,Mailed check,Yes,No,No,Yes,3,78.68,4915.45,No,4.37,No,No,Low Risk
CUST102949,Female,0,No,No,4,One year,Fiber optic,Mailed check,Yes,No internet service,No,Yes,1,76.08,253.12,No,53.92,Yes,No,Medium Risk
CUST103944,Male,0,No,Yes,37,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,Yes,1,53.1,1913.31,No,9.79,No,No,Low Risk
CUST102094,Male,0,Yes,No,15,Two year,DSL,Electronic check,No,No internet service,No,Yes,1,25.15,266.68,No,7.23,No,No,Low Risk
CUST103731,Female,1,No,Yes,57,Two year,No,Electronic check,No,Yes,No,Yes,3,23.18,1364.67,No,1.44,No,No,Low Risk
CUST101619,Male,0,No,Yes,54,Month-to-month,Fiber optic,Mailed check,No,Yes,No internet service,No,2,72.51,3841.33,Yes,17.65,No,Yes,Low Risk
CUST103492,Female,0,No,No,23,One year,DSL,Mailed check,No,No,Yes,No internet service,3,52.87,1294.3,Yes,15.67,No,Yes,Low Risk
CUST100716,Male,0,No,No,38,Two year,Fiber optic,Credit card (automatic),No,No,No,No internet service,4,43.61,1611.65,No,4.8,No,No,Low Risk
CUST103857,Male,0,No,No,39,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No internet service,0,65.34,2618.31,Yes,49.73,No,Yes,Medium Risk
CUST103975,Male,1,Yes,Yes,8,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,No internet service,No,2,54.88,408.17,Yes,89.06,Yes,Yes,High Risk
CUST101553,Female,0,Yes,No,12,Two year,DSL,Electronic check,Yes,No internet service,No internet service,No,0,66.24,635.39,No,17.28,No,No,Low Risk
CUST103269,Female,1,No,Yes,46,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes,0,69.32,3146.93,No,28.24,No,No,Low Risk
CUST102156,Female,0,No,No,47,One year,Fiber optic,Credit card (automatic),Yes,No,No internet service,No,7,92.18,4296.3,Yes,48.64,No,Yes,Medium Risk
CUST101187,Male,0,Yes,No,53,Month-to-month,Fiber optic,Mailed check,No,No internet service,No,No,1,75.36,4003.55,No,20.54,No,No,Low Risk
CUST104065,Male,0,Yes,No,4,Two year,Fiber optic,Bank transfer (automatic),No,No,No,No,1,69.84,245.6,Yes,15.55,No,Yes,Low Risk
CUST103913,Male,0,Yes,No,60,One year,Fiber optic,Bank transfer (automatic),Yes,Yes,No,No,2,72.06,4356.06,No,1.09,No,No,Low Risk
CUST101695,Female,0,Yes,Yes,47,Month-to-month,DSL,Electronic check,No,No,No,Yes,2,49.82,2286.95,No,25.7,No,No,Low Risk
CUST104448,Female,1,No,Yes,10,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,No internet service,1,60.51,614.61,No,21.46,No,No,Low Risk
