customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,TechSupport,OnlineSecurity,StreamingTV,NumSupportCalls,MonthlyCharges,TotalCharges,Churn
CUST100034,Female,0,No,Yes,10,Two year,DSL,Electronic check,Yes,No,No,No internet service,2,48.99,408.72,No
CUST100035,Male,0,No,No,28,Month-to-month,No,Electronic check,No,Yes,No,Yes,1,36.76,1064.17,No
CUST100036,Female,0,No,No,27,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,Yes,1,67.18,1904.17,No
CUST100037,Male,0,Yes,No,20,Month-to-month,DSL,Electronic check,Yes,No internet service,No internet service,No,0,59.5,1206.69,No
CUST100038,Male,0,Yes,Yes,31,Two year,DSL,Bank transfer (automatic),No,No internet service,Yes,No internet service,2,62.18,1955.3,No
CUST100039,Male,0,Yes,Yes,16,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,81.48,1250.41,Yes
CUST100040,Male,0,Yes,Yes,42,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,No,2,68.43,2843.13,No
CUST100041,Male,0,Yes,No,72,Month-to-month,DSL,Credit card (automatic),Yes,No,No internet service,No internet service,3,41.22,2916.94,No
CUST100042,Female,1,No,No,45,Two year,Fiber optic,Credit card (automatic),Yes,Yes,No,No internet service,0,59.25,2686.04,No
CUST100043,Female,0,No,Yes,14,Two year,Fiber optic,Electronic check,Yes,No internet service,No,No,0,110.65,1523.2,Yes
CUST100044,Female,0,Yes,Yes,41,Month-to-month,No,Credit card (automatic),No,Yes,No,No internet service,2,30.47,1220.29,No
CUST100045,Female,0,Yes,Yes,48,Two year,DSL,Mailed check,Yes,No,No internet service,No internet service,3,77.09,3735.51,No
CUST100046,Female,0,No,No,35,Month-to-month,No,Mailed check,Yes,No,No internet service,No,0,18.0,713.49,No
CUST100047,Male,0,Yes,No,37,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,No internet service,0,89.98,3324.88,No
CUST100048,Female,0,No,No,25,Two year,No,Credit card (automatic),Yes,No,No internet service,No internet service,1,19.28,403.25,No
CUST100049,Female,0,No,No,9,Month-to-month,No,Electronic check,No,No,No,No,0,24.65,223.86,Yes
CUST100050,Male,0,No,No,24,Month-to-month,No,Bank transfer (automatic),Yes,Yes,No,No,1,21.56,527.02,No
CUST100051,Female,0,Yes,Yes,12,Month-to-month,Fiber optic,Electronic check,No,Yes,No internet service,Yes,3,64.45,814.97,No
CUST100052,Male,0,No,Yes,22,One year,DSL,Mailed check,No,No internet service,No,Yes,4,44.63,965.68,No
CUST100053,Female,1,Yes,No,17,Two year,DSL,Credit card (automatic),No,No,No internet service,No,2,54.53,971.06,No
CUST100054,Male,0,No,No,11,Two year,No,Mailed check,No,No internet service,Yes,No,0,18.0,234.38,No
CUST100055,Female,1,Yes,No,63,One year,No,Electronic check,Yes,No,No,No,1,26.52,1655.86,No
CUST100056,Female,0,Yes,No,26,Two year,Fiber optic,Mailed check,Yes,No,No,No internet service,2,64.95,1729.72,Yes
CUST100057,Male,0,No,No,18,Month-to-month,No,Bank transfer (automatic),No,No,No internet service,No,0,33.49,649.33,No
CUST100058,Male,0,No,No,6,One year,No,Mailed check,No,Yes,Yes,Yes,0,19.48,62.32,No
CUST100059,Male,0,No,No,46,One year,DSL,Electronic check,Yes,No,No internet service,No,0,74.64,3481.46,No
CUST100060,Male,0,No,No,31,Month-to-month,Fiber optic,Mailed check,No,No internet service,No,Yes,1,74.39,2300.09,Yes
CUST100061,Male,0,No,Yes,72,Month-to-month,No,Credit card (automatic),Yes,No internet service,No,No,2,23.77,1699.07,No
CUST100062,Male,0,Yes,No,15,Month-to-month,DSL,Bank transfer (automatic),No,No,No,No,1,74.24,1108.2,Yes
CUST100063,Male,0,No,No,60,One year,No,Bank transfer (automatic),Yes,No,No,No,1,19.06,1205.66,No
CUST100064,Male,0,No,No,24,Month-to-month,No,Bank transfer (automatic),Yes,No internet service,No,Yes,3,20.12,544.8,No
CUST100065,Female,0,No,No,13,Month-to-month,Fiber optic,Electronic check,Yes,No,No internet service,Yes,2,66.59,889.49,Yes
CUST100066,Female,0,No,No,19,Month-to-month,DSL,Bank transfer (automatic),Yes,No internet service,No,Yes,2,57.45,1105.03,No
CUST100067,Male,0,Yes,Yes,29,Month-to-month,DSL,Mailed check,Yes,No,No,No,3,46.18,1334.01,Yes
CUST100068,Female,0,No,No,18,One year,No,Electronic check,Yes,No internet service,No,No,4,34.32,752.68,No
CUST100069,Female,1,Yes,Yes,9,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No internet service,No,1,74.44,635.72,Yes
CUST100070,Female,0,Yes,No,12,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,Yes,1,85.07,998.48,Yes
CUST100071,Female,1,No,No,38,One year,No,Electronic check,Yes,Yes,No,No internet service,2,33.71,1296.1,No
CUST100072,Male,0,Yes,Yes,11,Two year,Fiber optic,Electronic check,Yes,No,No,No internet service,1,68.85,712.02,Yes
CUST100073,Female,0,No,Yes,16,Month-to-month,DSL,Electronic check,No,No,No,Yes,0,46.16,791.0,Yes
CUST100074,Male,0,Yes,No,11,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,1,71.06,708.09,Yes
CUST100075,Female,0,Yes,No,32,Two year,DSL,Mailed check,Yes,No,No internet service,Yes,0,55.11,1727.83,No
CUST100076,Female,1,No,Yes,72,Month-to-month,DSL,Bank transfer (automatic),No,Yes,No,No,1,59.01,4228.63,No
CUST100077,Female,0,No,No,37,Two year,Fiber optic,Electronic check,No,Yes,No,No,2,80.34,2922.35,No
CUST100078,Male,0,No,No,14,Month-to-month,No,Electronic check,No,Yes,No,No,1,24.62,396.73,Yes
CUST100079,Female,0,No,Yes,32,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,Yes,0,66.83,2072.81,No
CUST100080,Male,0,No,No,15,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,Yes,No internet service,2,67.96,971.24,No
CUST100081,Female,1,Yes,No,30,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,Yes,4,81.22,2402.76,Yes
CUST100082,Male,0,Yes,No,68,Two year,DSL,Electronic check,No,Yes,No,No internet service,1,47.2,3251.75,No
CUST100083,Female,0,Yes,No,25,Two year,Fiber optic,Credit card (automatic),No,Yes,No,Yes,0,81.72,2115.62,No
CUST100084,Male,0,No,Yes,33,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,Yes,2,82.12,2736.08,No
CUST100085,Male,0,No,Yes,26,Two year,No,Bank transfer (automatic),Yes,No,No,No,1,43.41,1062.98,No
CUST100086,Female,0,Yes,Yes,49,Two year,Fiber optic,Electronic check,Yes,No,Yes,No internet service,4,69.23,3361.26,No
CUST100087,Male,0,No,No,42,One year,Fiber optic,Electronic check,No,No internet service,No internet service,No,3,71.1,3064.8,No
CUST100088,Female,0,No,No,20,Two year,DSL,Bank transfer (automatic),Yes,Yes,No,Yes,2,27.25,546.44,No
CUST100089,Female,0,Yes,No,42,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,Yes,No internet service,1,63.68,2602.27,No
CUST100090,Female,0,Yes,No,30,Month-to-month,Fiber optic,Electronic check,No,No,No,No,2,63.53,2015.6,Yes
CUST100091,Female,0,No,No,19,One year,Fiber optic,Bank transfer (automatic),Yes,No,No internet service,Yes,1,81.07,1511.84,No
CUST100092,Female,0,No,No,19,Two year,Fiber optic,Mailed check,No,No,No,No,3,96.69,1833.53,No
CUST100093,Female,0,No,No,29,One year,Fiber optic,Bank transfer (automatic),Yes,Yes,No internet service,No,0,81.97,2342.89,No
CUST100094,Female,0,Yes,Yes,33,Two year,Fiber optic,Bank transfer (automatic),Yes,No,No,No,0,86.89,2819.59,No
CUST100095,Female,0,No,Yes,23,Month-to-month,DSL,Mailed check,Yes,No internet service,No internet service,No,0,46.46,1133.38,No
CUST100096,Female,0,Yes,No,34,One year,DSL,Mailed check,Yes,No internet service,No,No internet service,1,40.62,1390.89,No
CUST100097,Female,0,Yes,No,14,Two year,Fiber optic,Credit card (automatic),Yes,No internet service,Yes,No internet service,0,72.1,1025.17,No
CUST100098,Female,0,No,No,10,Month-to-month,No,Mailed check,No,No internet service,No,No,4,18.0,116.02,Yes
CUST100099,Male,0,Yes,No,7,Two year,No,Bank transfer (automatic),No,No,No,Yes,3,18.0,111.04,No
CUST100100,Male,0,No,Yes,38,Month-to-month,No,Electronic check,No,No,Yes,No,3,27.62,1018.46,No
CUST100101,Female,0,Yes,No,6,One year,Fiber optic,Credit card (automatic),Yes,No internet service,No internet service,No internet service,2,60.77,323.34,No
CUST100102,Female,0,No,No,33,Two year,DSL,Electronic check,Yes,No,No,Yes,0,64.92,2165.73,No
CUST100103,Female,0,No,No,18,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,2,70.21,1246.89,No
CUST100104,Female,0,Yes,No,20,Month-to-month,No,Mailed check,Yes,No,No internet service,No,3,24.46,523.83,Yes
CUST100105,Female,0,No,No,21,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,No,4,76.2,1636.24,Yes
CUST100106,Female,0,Yes,No,72,Month-to-month,Fiber optic,Mailed check,Yes,No,No,No internet service,3,69.4,4975.05,No
CUST100107,Female,0,No,No,16,Month-to-month,DSL,Bank transfer (automatic),No,No internet service,No internet service,No,3,70.19,1145.74,No
CUST100108,Female,0,Yes,No,12,Month-to-month,DSL,Electronic check,No,No,No,No,1,35.73,405.65,Yes
CUST100109,Male,0,Yes,No,72,Two year,DSL,Mailed check,No,No internet service,No,Yes,1,70.4,5029.4,No
CUST100110,Female,0,Yes,Yes,7,Month-to-month,Fiber optic,Credit card (automatic),No,No internet service,Yes,No internet service,1,70.84,442.87,No
CUST100111,Male,0,Yes,Yes,9,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,2,86.05,778.75,Yes
CUST100112,Female,0,No,Yes,47,Two year,No,Electronic check,No,Yes,No,No internet service,0,27.41,1251.17,No
CUST100113,Female,0,Yes,Yes,34,Two year,No,Mailed check,Yes,No,No,Yes,4,35.21,1266.05,No
CUST100114,Male,0,Yes,No,19,One year,DSL,Credit card (automatic),No,No internet service,No,Yes,3,53.58,1099.32,Yes
CUST100115,Female,0,Yes,No,11,One year,DSL,Electronic check,Yes,Yes,No,No,1,57.86,660.21,No
CUST100116,Male,0,Yes,Yes,3,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,1,88.17,276.69,Yes
CUST100117,Female,0,No,Yes,71,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No,No,1,76.15,5407.58,No
CUST100118,Female,1,No,Yes,42,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,Yes,1,90.96,3939.01,Yes
CUST100119,Male,0,Yes,No,66,One year,DSL,Mailed check,Yes,Yes,Yes,No,2,59.23,4007.3,No
CUST100120,Female,0,No,No,53,Month-to-month,DSL,Credit card (automatic),No,Yes,No,No internet service,2,46.21,2438.9,No
CUST100121,Male,1,No,No,36,One year,DSL,Electronic check,Yes,Yes,Yes,No internet service,2,50.74,1816.7,No
CUST100122,Female,0,Yes,No,16,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,Yes,0,85.66,1386.91,Yes
CUST100123,Male,1,No,Yes,11,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,60.12,602.34,Yes
CUST100124,Male,0,No,No,57,One year,Fiber optic,Credit card (automatic),No,No internet service,Yes,No,1,84.51,4727.08,No
CUST100125,Female,1,No,Yes,18,Two year,DSL,Credit card (automatic),Yes,No,No,No,3,50.61,844.08,No
CUST100126,Female,0,No,No,11,Month-to-month,Fiber optic,Mailed check,Yes,No,No,Yes,0,59.52,639.64,No
CUST100127,Male,0,Yes,No,15,Month-to-month,DSL,Bank transfer (automatic),Yes,No internet service,Yes,No,2,57.49,815.1,No
CUST100128,Female,0,No,No,59,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,No,4,46.6,2822.14,No
CUST100129,Female,0,No,No,12,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,68.14,744.22,Yes
CUST100130,Female,0,No,No,19,One year,Fiber optic,Electronic check,Yes,No internet service,No,Yes,0,67.49,1215.54,No
CUST100131,Male,0,No,Yes,24,Month-to-month,DSL,Credit card (automatic),Yes,Yes,No internet service,Yes,0,56.38,1261.4,No
CUST100132,Male,0,Yes,Yes,30,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No internet service,0,70.32,2077.33,No
CUST100133,Male,0,No,No,11,Two year,DSL,Electronic check,Yes,No,No,No internet service,0,59.69,636.67,Yes
CUST100134,Male,0,No,No,23,Month-to-month,DSL,Credit card (automatic),No,Yes,Yes,Yes,0,67.15,1540.47,No
CUST100135,Male,0,Yes,Yes,48,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,No,3,81.5,3910.26,No
CUST100136,Male,1,Yes,No,72,Month-to-month,DSL,Electronic check,Yes,No,No,Yes,2,76.66,5488.43,No
CUST100137,Male,0,No,No,10,Month-to-month,No,Electronic check,Yes,No,No,No,1,49.62,443.58,Yes
CUST100138,Male,1,Yes,No,11,Month-to-month,DSL,Electronic check,No,No,Yes,No,1,51.52,587.66,Yes
CUST100139,Male,0,Yes,No,13,One year,No,Credit card (automatic),Yes,No,Yes,No,0,18.0,189.01,No
CUST100140,Female,0,Yes,No,40,One year,Fiber optic,Credit card (automatic),Yes,No,Yes,No internet service,1,71.53,2900.26,No
CUST100141,Male,0,Yes,No,10,Month-to-month,DSL,Electronic check,No,Yes,No internet service,No,1,56.42,490.08,Yes
CUST100142,Female,0,Yes,No,22,One year,DSL,Credit card (automatic),Yes,No,No,Yes,0,81.71,1760.21,No
CUST100143,Female,0,Yes,No,21,Month-to-month,No,Mailed check,Yes,No,Yes,Yes,1,20.5,532.61,No
CUST100144,Female,0,Yes,No,72,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,No internet service,No internet service,0,78.34,5749.41,No
CUST100145,Male,0,No,No,16,Two year,Fiber optic,Electronic check,No,No,Yes,Yes,2,66.83,1001.23,No
CUST100146,Male,1,No,Yes,15,Month-to-month,Fiber optic,Mailed check,No,No internet service,Yes,No,0,70.84,1122.97,Yes
CUST100147,Male,0,Yes,Yes,40,Month-to-month,No,Electronic check,No,Yes,Yes,No,3,18.0,800.68,No
CUST100148,Male,0,Yes,No,32,Two year,Fiber optic,Electronic check,Yes,No,Yes,Yes,3,57.45,1891.56,No
CUST100149,Female,0,No,No,14,Month-to-month,No,Electronic check,Yes,Yes,Yes,No,2,41.33,575.28,No
CUST100150,Male,0,Yes,No,62,Month-to-month,Fiber optic,Electronic check,Yes,No,No internet service,No internet service,0,87.79,5346.48,Yes
CUST100151,Male,0,Yes,Yes,7,One year,Fiber optic,Credit card (automatic),Yes,No,No internet service,Yes,2,70.56,498.16,Yes
CUST100152,Male,0,Yes,Yes,24,One year,Fiber optic,Credit card (automatic),Yes,No,No,Yes,0,87.76,2126.82,No
CUST100153,Male,0,No,No,20,Two year,DSL,Credit card (automatic),No,Yes,No,No internet service,0,39.32,798.32,No
CUST100154,Male,0,No,Yes,23,Month-to-month,No,Electronic check,Yes,No,No,No,1,22.92,551.01,Yes
CUST100155,Female,0,No,Yes,14,Month-to-month,Fiber optic,Mailed check,No,No,No,No,4,77.09,1038.66,Yes
CUST100156,Male,0,No,No,23,Month-to-month,No,Mailed check,Yes,No,No,No,1,40.19,900.18,Yes
CUST100157,Female,1,No,Yes,29,Month-to-month,Fiber optic,Mailed check,No,Yes,No,No,0,77.37,2124.02,No
CUST100158,Male,0,Yes,No,2,Month-to-month,DSL,Electronic check,Yes,No,Yes,Yes,1,61.54,167.59,No
CUST100159,Female,0,No,No,17,One year,DSL,Mailed check,Yes,Yes,Yes,No,2,49.36,794.24,No
CUST100160,Male,0,Yes,Yes,13,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No internet service,Yes,3,78.17,1003.76,Yes
CUST100161,Male,1,No,No,72,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,No,1,90.17,6504.9,No
CUST100162,Female,0,No,No,35,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,No,0,55.6,1917.97,Yes
CUST100163,Female,0,No,No,12,Two year,Fiber optic,Mailed check,Yes,No,No,No internet service,2,88.63,1009.93,No
CUST100164,Female,0,Yes,No,16,Two year,No,Bank transfer (automatic),Yes,No,No,No internet service,1,22.48,372.47,No
CUST100165,Male,0,Yes,No,20,Two year,No,Electronic check,No,No internet service,Yes,No internet service,1,18.0,270.83,No
CUST100166,Female,0,No,No,16,Month-to-month,DSL,Electronic check,Yes,No,No,No,0,51.79,866.98,Yes
CUST100167,Male,0,No,No,37,Month-to-month,DSL,Electronic check,No,No,No,Yes,2,70.48,2640.78,Yes
CUST100168,Male,0,No,No,70,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,Yes,2,69.21,4817.21,No
CUST100169,Female,0,Yes,Yes,0,One year,Fiber optic,Electronic check,Yes,No internet service,No,No,2,78.59,0.0,Yes
CUST100170,Female,0,No,Yes,19,Month-to-month,No,Mailed check,No,No,No,No,2,18.0,292.61,No
CUST100171,Male,0,No,Yes,72,Month-to-month,DSL,Electronic check,Yes,No,No,Yes,1,33.09,2363.37,No
CUST100172,Male,0,No,No,20,Month-to-month,DSL,Electronic check,No,No internet service,No,No internet service,3,42.08,831.56,No
CUST100173,Female,0,No,Yes,30,Month-to-month,DSL,Electronic check,Yes,Yes,No internet service,Yes,1,67.15,1998.58,No
CUST100174,Female,1,No,No,2,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,No,1,74.39,221.21,Yes
CUST100175,Female,0,No,No,61,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,No,1,88.2,5292.75,Yes
CUST100176,Male,0,No,Yes,9,Month-to-month,No,Bank transfer (automatic),Yes,No internet service,Yes,No,2,38.9,304.7,No
CUST100177,Male,0,No,No,34,Month-to-month,DSL,Electronic check,No,No internet service,Yes,No,0,45.9,1597.17,No
CUST100178,Male,0,Yes,No,11,Month-to-month,No,Electronic check,Yes,No,No,Yes,0,43.8,584.55,No
CUST100179,Male,0,Yes,Yes,1,One year,Fiber optic,Bank transfer (automatic),No,No,No,No internet service,4,68.47,25.27,Yes
CUST100180,Male,0,No,No,32,Month-to-month,Fiber optic,Electronic check,No,No,No,No internet service,1,87.0,2834.61,Yes
CUST100181,Male,0,No,No,42,Two year,Fiber optic,Electronic check,No,No,No,No,1,86.51,3575.91,Yes
CUST100182,Female,0,No,No,24,Month-to-month,DSL,Electronic check,Yes,No internet service,No internet service,Yes,2,55.78,1319.25,No
CUST100183,Male,0,No,Yes,8,Month-to-month,DSL,Bank transfer (automatic),Yes,No,Yes,Yes,1,55.8,446.91,Yes
CUST100184,Male,0,Yes,No,72,One year,Fiber optic,Bank transfer (automatic),No,No internet service,No internet service,Yes,0,78.85,5642.67,No
CUST100185,Male,0,No,No,41,Two year,DSL,Electronic check,No,No,No,No,1,56.39,2291.03,No
CUST100186,Female,0,No,No,28,One year,DSL,Bank transfer (automatic),No,No,Yes,No,0,50.32,1340.78,No
CUST100187,Male,0,Yes,Yes,55,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,Yes,No internet service,No,2,69.29,3844.66,No
CUST100188,Male,0,Yes,No,16,Month-to-month,Fiber optic,Mailed check,No,No,No internet service,No,1,70.41,1081.66,No
CUST100189,Female,0,No,No,72,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,No,No internet service,0,89.62,6419.45,Yes
CUST100190,Male,0,Yes,No,42,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,Yes,1,55.94,2310.38,Yes
CUST100191,Male,0,No,No,51,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No internet service,No,0,49.04,2464.6,No
CUST100192,Male,0,Yes,No,19,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,0,71.09,1357.94,No
CUST100193,Male,0,No,No,9,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,Yes,No,No internet service,1,72.26,653.48,No
CUST100194,Male,1,No,No,29,One year,Fiber optic,Mailed check,No,No,Yes,No,1,78.56,2404.17,Yes
CUST100195,Female,0,No,No,17,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,No,1,58.82,987.69,No
CUST100196,Female,0,Yes,Yes,72,Month-to-month,No,Electronic check,No,No internet service,No,No,1,37.3,2680.58,No
CUST100197,Female,0,No,No,7,Two year,Fiber optic,Electronic check,Yes,No,No,No internet service,1,85.64,666.33,Yes
CUST100198,Male,0,Yes,No,65,One year,DSL,Mailed check,Yes,No internet service,No,No internet service,1,63.09,4112.09,No
CUST100199,Male,0,Yes,Yes,5,Month-to-month,Fiber optic,Mailed check,Yes,No,No,Yes,4,72.51,357.61,Yes
CUST100200,Male,0,No,No,11,Month-to-month,No,Mailed check,Yes,Yes,No internet service,No,1,18.0,191.32,No
CUST100201,Female,1,No,Yes,5,One year,No,Bank transfer (automatic),Yes,No internet service,No,No internet service,0,21.1,115.2,No
CUST100202,Male,0,No,No,16,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No internet service,No,2,75.73,1260.42,Yes
CUST100203,Male,0,Yes,No,21,Two year,No,Bank transfer (automatic),Yes,No,No internet service,No,3,32.99,760.06,No
CUST100204,Female,0,Yes,Yes,14,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,0,74.02,1087.86,Yes
CUST100205,Male,0,Yes,No,34,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,No,1,79.33,2720.56,No
CUST100206,Female,0,No,Yes,21,Two year,Fiber optic,Mailed check,No,No,No,No,4,69.79,1476.13,No
CUST100207,Female,0,No,No,3,Two year,Fiber optic,Electronic check,No,No,No,No,3,78.44,337.23,Yes
CUST100208,Female,0,No,No,11,Month-to-month,Fiber optic,Electronic check,No,No internet service,No,No internet service,1,72.01,768.39,No
CUST100209,Male,0,No,No,19,One year,Fiber optic,Electronic check,No,No,No,Yes,1,78.22,1521.09,Yes
CUST100210,Male,0,Yes,Yes,53,Month-to-month,Fiber optic,Mailed check,Yes,No,No internet service,No,0,53.8,2910.11,Yes
CUST100211,Male,0,Yes,Yes,27,One year,DSL,Electronic check,No,No,No,No internet service,2,60.85,1695.17,No
CUST100212,Male,0,Yes,No,17,Two year,Fiber optic,Credit card (automatic),No,No internet service,No,No,1,81.48,1347.04,No
CUST100213,Male,0,Yes,No,6,Month-to-month,Fiber optic,Credit card (automatic),Yes,Yes,No internet service,No,1,81.35,628.86,Yes
CUST100214,Male,0,Yes,Yes,28,Month-to-month,DSL,Credit card (automatic),No,Yes,No,Yes,2,43.15,1291.73,No
CUST100215,Male,0,No,Yes,62,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,No,3,46.48,2934.76,No
CUST100216,Female,0,Yes,Yes,19,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,No internet service,1,64.58,1176.7,No
CUST100217,Male,1,No,No,12,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No internet service,0,78.96,996.51,Yes
CUST100218,Female,1,Yes,No,38,Two year,DSL,Mailed check,No,No,No internet service,No,2,62.9,2274.63,No
